质量_A,,,
t,x,y,rad
25.28,22.19871936,-28.57202144,-0.660606013
25.32,20.75958068,-29.57552025,-0.612091196
25.36,18.80932148,-30.94161709,-0.54627684
25.4,16.00748024,-32.47677214,-0.458002926
25.44,12.03287007,-34.33026097,-0.337166843
25.48,8.388764188,-36.36121053,-0.226768598
25.52,1.425528104,-37.3810737,-0.038121495
25.56,-3.556503036,-37.38173852,0.094866909
25.6,-8.215766359,-37.03917631,0.218307135
25.64,-12.53789127,-36.03518057,0.334877178
25.68,-15.25004304,-35.01907718,0.41076541
25.72,-19.8237703,-33.14219919,0.539122743
25.76,-22.36640475,-31.875122,0.611937584
25.8,-23.8875468,-30.93134739,0.657691448
25.84,-24.56588828,-30.52121044,0.677796881
25.88,-24.38925753,-30.68939903,0.67159577
25.92,-23.3015745,-31.4511193,0.637722812
25.96,-21.3481784,-32.6395413,0.579298303
26,-18.46635671,-33.99469431,0.497681984
26.04,-14.40260753,-35.52151915,0.385255607
26.08,-10.33481189,-36.61761963,0.275116642
26.12,-5.592383817,-37.46900129,0.148179116
26.16,-0.337586617,-37.81008015,0.008929402
26.2,3.814823521,-37.29343613,-0.101950747
26.24,9.491692322,-36.46207164,-0.254697861
26.28,14.66040568,-34.76868146,-0.399086156
26.32,17.62513986,-32.80687393,-0.493057243
26.36,19.31902838,-30.93916843,-0.558254336
26.4,20.50682407,-29.75610064,-0.603494429
26.44,21.52307183,-28.99293819,-0.638673556
26.48,21.69785098,-28.83740761,-0.645131943
26.52,21.35202825,-29.15925891,-0.632129536
26.56,21.09882886,-29.67051379,-0.618219828
26.6,19.23331822,-30.9481733,-0.556127957
26.64,17.7285935,-32.80885615,-0.495476182
26.68,13.13442513,-33.82357069,-0.370446508
26.72,10.42350065,-36.1926845,-0.280448139
26.76,5.932005179,-37.46571565,-0.157048406
26.8,1.270383806,-37.97850375,-0.033441943
26.84,-3.8109011,-37.80883845,0.100467677
26.88,-9.826333657,-36.61662736,0.262213971
26.92,-13.38124909,-35.85318019,0.357258591
26.96,-15.58922629,-35.18093202,0.417168367
27,-17.96085039,-34.15249892,0.484216228
27.04,-21.01348433,-32.47784106,0.574344797
27.08,-22.02429957,-31.9491815,0.603623538
27.12,-22.03182374,-31.9526495,0.60373245
27.16,-21.27076488,-32.46908483,0.580033068
27.2,-19.99378104,-33.15020126,0.542785954
27.24,-17.78914265,-34.16776634,0.480086026
27.28,-14.90818716,-35.34453515,0.399205546
27.32,-10.84583033,-36.53821733,0.288588232
27.36,-7.118321521,-37.22303266,0.188977495
27.4,-2.370217521,-37.80141758,0.062627957
27.44,2.039002582,-37.62867823,-0.054141538
27.48,6.355474781,-36.8762799,-0.170691384
27.52,10.93145244,-35.6080469,-0.297899404
27.56,15.76050593,-33.82012697,-0.436144057
27.6,17.87917465,-31.78874609,-0.512408216
27.64,19.99757082,-30.43773193,-0.581355338
27.68,21.86214794,-29.41626499,-0.639217315
27.72,22.36966664,-28.9225969,-0.658415169
27.76,22.20126886,-29.08673188,-0.65202968
27.8,21.43649457,-29.74905773,-0.624484088
27.84,19.23458603,-30.76948982,-0.558757168
27.88,16.01522733,-32.12447453,-0.462536195
27.92,13.81071161,-33.4881905,-0.391205476
27.96,9.490446566,-35.43434879,-0.261723818
28,4.323563274,-36.70473144,-0.117267971
28.04,1.272328499,-37.72402165,-0.033718868
28.08,-4.234169217,-37.38421343,0.112794901
28.12,-7.116300307,-37.38277979,0.188136723
28.16,-10.5878232,-36.70656907,0.28085879
28.2,-14.23290716,-35.68196694,0.379591735
28.24,-17.9618078,-33.99085017,0.486195641
28.28,-19.90929532,-32.97624857,0.54324017
28.32,-20.58968401,-32.63141095,0.562959138
28.36,-21.10045054,-32.30668502,0.578647127
28.4,-20.83999872,-32.46971035,0.570683566
28.44,-19.57280751,-33.14716775,0.533460772
28.48,-17.53715762,-34.16747429,0.47426907
28.52,-16.18106931,-34.67898246,0.436625613
28.56,-12.28506631,-36.02610441,0.32868132
28.6,-8.877780045,-36.86859143,0.23632738
28.64,-4.142293195,-37.54005182,0.109912959
28.68,2.204703407,-37.89172164,-0.058126312
28.72,6.864359665,-37.36712604,-0.181698533
28.76,9.575885301,-36.2781829,-0.258104508
28.8,13.55819962,-34.07623281,-0.378725241
28.84,16.35367151,-32.55364138,-0.465594783
